ID,Title,Author(s),Source,Journal,Language(s),Publication year
S1414-462X2022000300407-scl,"Atenção básica: indicadores de Saúde da Mulher no Estado do Tocantins, Brasil","Brito, Patrick Nunes, Pereira, Tássylla Caroline Ferreira, Neves Neto, Durval Nolasco das, Ribeiro, Cristina Zanettini",Cadernos Saúde Coletiva; 30(3); 407-415,Cadernos Saúde Coletiva,Português,2022
S1809-29502022000300296-scl,O efeito da educação na dor e funcionalidade em pacientes com disfunções musculoesqueléticas do membro superior: uma revisão sistemática,"Doval, Danielle, Martins, Maiara da Silva, Araujo, Francisco Xavier de",Fisioterapia e Pesquisa; 29(3); 296-302,Fisioterapia e Pesquisa,"Português, Inglês",2022
S1518-70122022000300835-scl,"Nutricionistas na Atenção Primária à Saúde e o cuidado nutricional à população adulta no município de São Paulo, SP, Brasil","Santos, Lucivaldo Freitas dos, Neves, José Anael, Medeiros, Maria Angélica Tavares de",Interações (Campo Grande); 23(3); 835-848,Interações (Campo Grande),Português,2022
S0034-76122022000500603-scl,Políticas de permanência estudantil na educação superior: reflexões de uma revisão da literatura para o contexto brasileiro,"Silva, Polyana Tenório de Freitas e, Sampaio, Luciano Menezes Bezerra",Revista de Administração Pública; 56(5); 603-631,Revista de Administração Pública,"Português, Inglês",2022
S2595-31922022000300272-scl,Counseling to change the lifestyle of sedentary workers on musculoskeletal pain: systematic review,"Jerônimo, Jeferson Santos, Lopes, Samuel Völz, Siqueira, Fernando Carlos Vinholes, da-Silva, Marcelo Cozzensa",BrJP; 5(3); 272-284,BrJP,"Português, Inglês",2022
S2316-82422022000300073-scl,Educação e Valores*,"Azeredo, Vânia Dutra de",Cadernos Nietzsche; 43(3); 73-90,Cadernos Nietzsche,Português,2022
S1983-80422022000300628-scl,Ética médica e bioética entre estudantes de medicina,"Oliveira, Alexandre Faraco de, Oliveira, Evelise Faraco de",Revista Bioética; 30(3); 628-635,Revista Bioética,"Português, Inglês, Espanhol",2022
S1983-80422022000300575-scl,Competência moral e formação médica na contemporaneidade: estudo brasileiro,"Castro, Marcio Rodrigues de, Pereira, Alexandre de Araújo, Bataglia, Patrícia Unger Raphael",Revista Bioética; 30(3); 575-588,Revista Bioética,"Português, Inglês, Espanhol",2022
S1413-81232022000803031-scl,"Healthy living behaviors in youth: a comparative study in Brazil, Colombia and Mexico","Mendez, Aniela, Garcia, Andrea Romo, Lopez, Mildred, Diaz-Lopez, Monica Maria, Dibai, Daniela Bassi",Ciência & Saúde Coletiva; 27(8); 3031-3042,Ciência & Saúde Coletiva,Inglês,2022
S1413-81232022000802985-scl,"Effects of COVID-19 lockdown on sleep duration, sleep quality and burnout in faculty members of higher education in Mexico","Arrona-Palacios, Arturo, Rebolledo-Mendez, Genaro, Escamilla, Jose, Hosseini, Samira, Duffy, Jeanne",Ciência & Saúde Coletiva; 27(8); 2985-2993,Ciência & Saúde Coletiva,Inglês,2022
S1413-41522022000400643-scl,Fatores influenciadores da segregação de resíduos orgânicos na fonte geradora para a viabilização de sistemas de compostagem,"Pereira, Vanessa Rodrigues, Fiore, Fabiana Alves",Engenharia Sanitaria e Ambiental; 27(4); 643-652,Engenharia Sanitaria e Ambiental,Português,2022
S1414-40772022000200305-scl,Internacionalização do ensino superior e cooperação educacional: o caso do pec-g na voz dos estudantes,"Macedo, Maria do Socorro Alencar Nunes",Avaliação: Revista da Avaliação da Educação Superior (Campinas); 27(2); 305-325,Avaliação: Revista da Avaliação da Educação Superior (Campinas),Português,2022
S1414-40772022000200388-scl,Produtividade científica e tecnológica dos docentes da Universidade Federal de Roraima,"Silva, Layonize Felix Correia da, Berto Pucca, Manuela",Avaliação: Revista da Avaliação da Educação Superior (Campinas); 27(2); 388-408,Avaliação: Revista da Avaliação da Educação Superior (Campinas),Português,2022
S1414-40772022000200366-scl,"Foco nas políticas de avaliação, na regulação e na supervisão dos institutos federais de educação, ciência e tecnologia a partir de atos normativos","Bernardes, Joelma dos Santos",Avaliação: Revista da Avaliação da Educação Superior (Campinas); 27(2); 366-387,Avaliação: Revista da Avaliação da Educação Superior (Campinas),Português,2022
S1414-40772022000200347-scl,Estudo descritivo sobre o sistema de avaliação de cursos de educação superior em Portugal,"Guerra, Maria das Graças Gonçalves Vieira, Leite, Carlinda",Avaliação: Revista da Avaliação da Educação Superior (Campinas); 27(2); 347-365,Avaliação: Revista da Avaliação da Educação Superior (Campinas),Português,2022
S1414-40772022000200281-scl,"Um estudo da mobilidade acadêmica internacional em cursos de graduação da Universidade Federal de São Carlos no âmbito dos programas AUGM, Bracol, Bramex e Acordos bilaterais de cooperação","Forim, Andréia Businaro, Rigolin, Camila Carneiro Dias",Avaliação: Revista da Avaliação da Educação Superior (Campinas); 27(2); 281-304,Avaliação: Revista da Avaliação da Educação Superior (Campinas),Português,2022
S0103-18132022000200401-scl,RESISTÊNCIA POLÍTICA SEM FOGO AMIGO: POR UMA IDEOLOGIA LINGUÍSTICA DAS MISTURAS EM NOSSA REVOLTA,"Oliveira, Raquel Souza de, Fabrício, Branca Falabella",Trabalhos em Linguística Aplicada; 61(2); 401-418,Trabalhos em Linguística Aplicada,Português,2022
S0103-18132022000200363-scl,DIFERENTES PERSPECTIVAS SOBRE O GÊNERO ENTREVISTA NAS AULAS DE PORTUGUÊS NA LICENCIATURA INTERCULTURAL INDÍGENA,"Santos, Lilian Abram dos",Trabalhos em Linguística Aplicada; 61(2); 363-375,Trabalhos em Linguística Aplicada,Português,2022
S1809-29502022000200203-scl,Relação entre a coordenação motora e a função executiva em adultos e idosos,"Ribeiro, Maria Luiza Triolo, Almeida, Daniela Melo de, Voos, Mariana Callil",Fisioterapia e Pesquisa; 29(2); 203-209,Fisioterapia e Pesquisa,"Português, Inglês",2022
S1809-29502022000200145-scl,Telefonemas mensais e calendários como registro para a taxa de quedas de idosos da comunidade inseridos em um ensaio clínico randomizado,"Oliveira, Jéssica Cerutti de, Gonçalves, Glaucia Helena, Campos, Dayane Melo, Ferreira, Daniela Lemes, Silva, Nathany Clara da, Ansai, Juliana Hotta",Fisioterapia e Pesquisa; 29(2); 145-153,Fisioterapia e Pesquisa,"Português, Inglês",2022
S0103-40142022000200321-scl,Ensinar longe da escola: ensaio sobre as representações em E. Durkheim e R. Chartier,"Menezes, Roni Cleber Dias de, Silva, Vivian Batista da",Estudos Avançados; 36(105); 321-335,Estudos Avançados,Português,2022
S2176-66812022000200271-scl,A educação de jovens e adultos e sua imbricação com o ensino regular,"Sampaio, Carlos Eduardo Moreno, Hizim, Luciano Abrão",Revista Brasileira de Estudos Pedagógicos; 103(264); 271-298,Revista Brasileira de Estudos Pedagógicos,Português,2022
S2176-66812022000200450-scl,Educação da infância e combate ao racismo: a implementação da Lei n° 10.639/2003 na percepção de professores e professoras,"Alves, Luciana, Teixeira, Daniel, Santos, Winnie Nascimento dos",Revista Brasileira de Estudos Pedagógicos; 103(264); 450-465,Revista Brasileira de Estudos Pedagógicos,Português,2022
S1413-81232022000803129-scl,Serious games para educação sexual de adolescentes e jovens: revisão integrativa de literatura,"Alencar, Nadyelle Elias Santos, Pinto, Maria Aparecida Oliveira, Leite, Nicácio Torres, Vieira, Claudia Maria da Silva",Ciência & Saúde Coletiva; 27(8); 3129-3138,Ciência & Saúde Coletiva,"Inglês, Português",2022
S0104-40362022000300718-scl,Public policies for school network planning in Portugal: changes in municipal responsibilities and choices,"Santos, Lúcia Isabel Ribeiro, Alcoforado, Joaquim Luís Medeiros, Cordeiro, António Manuel Rochette",Ensaio: Avaliação e Políticas Públicas em Educação; 30(116); 718-741,Ensaio: Avaliação e Políticas Públicas em Educação,Inglês,2022
S0104-40362022000300742-scl,Processos de liderança no Projeto de Autonomia e Flexibilidade Curricular,"Fraga, Nuno, Pereira, Gorete, Gouveia, Ana Isabel, Gouveia, Fernanda",Ensaio: Avaliação e Políticas Públicas em Educação; 30(116); 742-763,Ensaio: Avaliação e Políticas Públicas em Educação,Português,2022
S0104-40362022000300788-scl,Evaluación del proceso de gestión educativa para la integración de modelos didácticos mediados por TIC: un estudio de caso múltiple,"Becerra, Isabel Jiménez, Ghotme, Kemel A., Romeiro, Artieres Estevao, Bernal, Lina Rosa Parra",Ensaio: Avaliação e Políticas Públicas em Educação; 30(116); 788-812,Ensaio: Avaliação e Políticas Públicas em Educação,Espanhol,2022
S0104-40362022000300644-scl,Policies and practices of external evaluation of schools: spaces for teacher collaboration?,"Seabra, Filipa, Abelha, Marta, Henriques, Susana, Mouraz, Ana",Ensaio: Avaliação e Políticas Públicas em Educação; 30(116); 644-668,Ensaio: Avaliação e Políticas Públicas em Educação,Inglês,2022
S1413-82712022000300425-scl,Cheating Motivation Scale: Evidence Of Validity And Reliability,"Moura, Hysla Magalhães de, Gouveia, Rildésia Silva Veloso, Grangeiro, Alex Sandro de Moura, Figueiredo, Camilla Vieira de, Gouveia, Valdiney Veloso",Psico-USF; 27(3); 425-436,Psico-USF,Inglês,2022
S1519-38292022000300651-scl,Relation between prenatal education for breastfeeding and breastfeeding technique,"Baldin, Paulo Eduardo Almeida, Pedrosa, Fernanda Gonzalez, Domingues, Gabrielle Rodrigues, Reis, Catherine Muraid Nardi dos, Gonçalves, Talita Heleni, Luiz, Maria Flavia Christino",Revista Brasileira de Saúde Materno Infantil; 22(3); 651-657,Revista Brasileira de Saúde Materno Infantil,"Português, Inglês",2022
